조회_SGG_CD,조회_지역,조회기간,RK,CNTRL_POI_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_CNT
47170,경상북도 안동시,202401-202408,1,EC011C23A6B2CF31C12704E194ABAEAD,3e54cfb3b3b84acd551bf082997531bf,맘모스베이커리남부본점,간이음식,9554
47170,경상북도 안동시,202401-202408,2,8FB981CDF3BAA325AC5BE4B45A28C1EC,b1197a937fe9631d363597593ea51bfb,스타벅스안동강변DT점,카페/찻집,8042
47170,경상북도 안동시,202401-202408,3,0D7A266AE37B433B6F52B298661D1644,456a9274b1bcc69301d510350d6b374e,일직식당,한식,7355
47170,경상북도 안동시,202401-202408,4,875433D77C818781717FA22CACCF06A8,b5eacdc9f9281c4120cf321a8f5adf5c,월영당,카페/찻집,4481
47170,경상북도 안동시,202401-202408,5,EA074C8F8FCBB6279D3E6BD1ABC2C12A,9cff2fca444044d311e45e8f402bc617,안동간고등어직영식당,한식,4298
47170,경상북도 안동시,202401-202408,6,9FF3E771BA051DC2476B06D932A7955B,dec62406ebb257630ea0c7c64ed68d3a,폴모스트,카페/찻집,3867
47170,경상북도 안동시,202401-202408,7,C056BBEFAE5048F5D476E00ABFF1CF03,11a493db541579c7f46d400841f1b9df,산청식당,한식,3695
47170,경상북도 안동시,202401-202408,8,14C90B5ABE5CACC72377414E30A9A640,375877e160c9eaed2620c2ac56168777,핸즈커피안동댐점,카페/찻집,3648
47170,경상북도 안동시,202401-202408,9,35C0732F89636F73EB34930A4896ECF6,c761025fe0d45b3150c591dd59da63be,다이닝원안동점,전문음식,3630
47170,경상북도 안동시,202401-202408,10,536CD9CE4CCC68C00548588BE6964A57,bfdff166461906418b5143bd779d8fa9,맥도날드안동DT점,간이음식,3533
47170,경상북도 안동시,202401-202408,11,395E09B4AE1EE1882E9D1AC8653FD448,cb6cdc5af03b805fa16489fd5636771b,안동찜닭골목,음식점기타,3506
47170,경상북도 안동시,202401-202408,12,0FBA58C292177C928CB72B4E7DF2696E,a4e46da5595fde44d05fc900c8b7b790,신촌닭백숙식당,한식,3353
47170,경상북도 안동시,202401-202408,13,A62B6E4A16CC09BA64D0E81C4B561AE5,8c4862891ed47b9b1d89abb606281751,맘모스제과송현분점,간이음식,3169
47170,경상북도 안동시,202401-202408,14,B8EB83301D73CA6984B0265546FEF6F4,a53aeaeaa931cf2a93705a5902ca2a01,동악골금재가든,한식,3029
47170,경상북도 안동시,202401-202408,15,08AC31A497EDF1C2E7FF9DF45B7081CC,d61f48c14c8c98fc9ae5b6778d04f333,옥동손국수,한식,2865
47170,경상북도 안동시,202401-202408,16,924602C97B4583AFE14C5632CA1F46C0,2441bd830e162102d101541a1f24e577,가야숯불구이안동본점,한식,2648
47170,경상북도 안동시,202401-202408,17,FE3B07499021D28492B9CFC54B86172F,79a17959eaa0fc74df8d4e107d2c4c23,윤훈식농가쌈밥도청점,한식,2568
47170,경상북도 안동시,202401-202408,18,6A174C172076CAF5793636EB613ABCBF,931a8a5cc5fc2eccc9346f1d7d048f72,헛제사밥까치구멍집[한식],한식,2487
47170,경상북도 안동시,202401-202408,19,AAE1C13E300A766885073DB8E7191C3D,24e32523ff728febd6436991cd09151f,까치와호랑이,카페/찻집,2470
